district,date,centx,centy,ipc,area,pop,closest_district,date_future,conflict_count,fatalities,fatalities_per_pop,fatalities_per_area,fatalities_per_poparea,conflicts_per_pop,conflicts_per_area,conflicts_per_poparea
Yei,2018-06-01,30.34454,4.252148,3.0,6713.251,153641.0,Yei,2018-06-01,4,0.75,4.881509492908794e-06,0.00011171934432363694,0.032770798484779456,2.6034717295513566e-05,0.000595836503059397,0.17477759191882375
Yei,2018-10-01,30.34454,4.252148,3.0,6713.251,153641.0,Yei,2018-10-01,2,5.5,3.5797736281331154e-05,0.0008192751917066709,0.24031918888838266,1.3017358647756783e-05,0.0002979182515296985,0.08738879595941187
Yei,2019-02-01,30.34454,4.252148,3.0,6713.251,109399.0,Yei,2019-02-01,10,2.6,2.376621358513332e-05,0.0003872937269886081,0.15954855711660987,9.14085137889743e-05,0.0014895912576484926,0.6136482966023457
Yei,2019-06-01,30.34454,4.252148,3.0,6713.251,109399.0,Yei,2019-06-01,7,1.43,1.3071417471823325e-05,0.0002130115498437344,0.08775170641413542,6.398595965228202e-05,0.0010427138803539447,0.4295538076216419
Yei,2019-10-01,30.34454,4.252148,3.0,6713.251,109399.0,Yei,2019-10-01,7,0.43,3.9305660929258955e-06,6.405242407888517e-05,0.026386876753900862,6.398595965228202e-05,0.0010427138803539447,0.4295538076216419
Yei,2020-02-01,30.34454,4.252148,3.0,6713.251,288875.4,Yei,2020-02-01,7,2.57,8.896569247502555e-06,0.0003828249532156625,0.05972490239736578,2.4231900674131474e-05,0.0010427138803539447,0.16267483143251382
Yambio,2012-04-01,28.54729,5.124909,1.0,8896.165,190940.0,Yambio,2012-04-01,1,0.0,0.0,0.0,0.0,5.237247302817639e-06,0.00011240798703711092,0.046591416151670687
Yambio,2014-04-01,28.54729,5.124909,1.0,8896.165,199766.0,Yambio,2014-04-01,2,0.0,0.0,0.0,0.0,1.001171370503489e-05,0.00022481597407422184,0.08906585705275173
Yambio,2014-07-01,28.54729,5.124909,1.0,8896.165,199766.0,Yambio,2014-07-01,1,0.0,0.0,0.0,0.0,5.005856852517445e-06,0.00011240798703711092,0.044532928526375866
Yambio,2014-10-01,28.54729,5.124909,1.0,8896.165,199766.0,Yambio,2014-10-01,1,0.0,0.0,0.0,0.0,5.005856852517445e-06,0.00011240798703711092,0.044532928526375866
